published_at,comment_text,label,cleaned_text,normalized_comment,cleaned_text2,no_stopwords,stemmed_text,no_stopwords2,tokenize_text
2025-05-22 10:01:04,"Pasti k pesantren,jelas ga mau,masalahnya takut jatuh harga diri...😂😂😂😂 malu untuk meniru",2,pasti k pesantrenjelas ga maumasalahnya takut jatuh harga diri malu untuk meniru,pasti ke pesantren jelas tidak maumasalahnya takut jatuh harga diri malu untuk meniru,pasti ke pesantren jelas tidak maumasalahnya takut jatuh harga diri malu untuk meniru,pesantren maumasalahnya takut jatuh harga malu meniru,pesantren maumasalahnya takut jatuh harga malu tiru,pesantren maumasalahnya takut jatuh harga tiru,"['pesantren', 'maumasalahnya', 'takut', 'jatuh', 'harga', 'tiru']"
2025-05-22 09:47:24,"Dibiarkan aja Bu Khofifah,,,, biar Jawa Timur rusak",2,dibiarkan aja bu khofifah biar jawa timur rusak,dibiarkan saja bu khofifah biar jawa timur rusak,dibiarkan saja bu khofifah biar jawa timur rusak,dibiarkan khofifah timur rusak,biar khofifah timur rusak,rusak,['rusak']
2025-05-22 09:17:06,"Kurang respect kerakyat, gak ada gebrakan yang berarti yang bisa dirasakan warga Jatim, Jatim berduka memiliki pemimpin yang tidak merakyat 😢😢😢",2,kurang respect kerakyat gak ada gebrakan yang berarti yang bisa dirasakan warga jatim jatim berduka memiliki pemimpin yang tidak merakyat,kurang respect kerakyat tidak ada gebrakan yang berarti yang bisa dirasakan warga jawa timur jawa timur berduka memiliki pemimpin yang tidak merakyat,kurang respect kerakyat tidak ada gebrakan yang berarti yang bisa dirasakan warga jawa timur jawa timur berduka memiliki pemimpin yang tidak merakyat,respect kerakyat gebrakan dirasakan warga timur timur berduka memiliki pemimpin merakyat,respect rakyat gebrak rasa warga timur timur duka milik pimpin rakyat,respect gebrak duka milik,"['respect', 'gebrak', 'duka', 'milik']"
2025-05-22 08:59:46,Iya Bu jgn di bawa ke barak militer bawa aja ke kebun durian ya Bu....😂😂,2,iya bu jgn di bawa ke barak militer bawa aja ke kebun durian ya bu,iya bu jangan di bawa kah barak militer bawa saja kah kebun durian iya bu,iya bu jangan di bawa kah barak militer bawa saja kah kebun durian iya bu,bawa bawa kebun durian,bawa bawa kebun durian,kebun durian,"['kebun', 'durian']"
2025-05-22 07:47:22,Rondo gatel raiso kerjo,2,rondo gatel raiso kerjo,sedikit gatel tidak bisa kerja,sedikit gatel tidak bisa kerja,gatel,gatel,gatel,['gatel']
2025-05-22 06:56:41,Urus aja jawa timur ibu. Bukannya urus Jawa Barat. Turun ibu jln bukannya makan gajii butak sj coba bu kita lihat cara ibu mendidik anak yang bermasalah kalau bukan apa ya sebutan nya untuk anak anak yang begal memperkosa membunuh orang tuanya. Merampok dn kenakalan kenakalan lain nya,2,urus aja jawa timur ibu bukannya urus jawa barat turun ibu jln bukannya makan gajii butak sj coba bu kita lihat cara ibu mendidik anak yang bermasalah kalau bukan apa ya sebutan nya untuk anak anak yang begal memperkosa membunuh orang tuanya merampok dn kenakalan kenakalan lain nya,urus saja jawa timur ibu bukannya urus jawa barat turun ibu jalan bukannya makan gaji tidak terlihat saja coba bu kita lihat cara ibu mendidik anak yang bermasalah kalau bukan apa iya sebutan nya untuk anak anak yang begal memperkosa membunuh orang tuanya merampok dan kenakalan kenakalan lain nya,urus saja jawa timur ibu bukannya urus jawa barat turun ibu jalan bukannya makan gaji tidak terlihat saja coba bu kita lihat cara ibu mendidik anak yang bermasalah kalau bukan apa iya sebutan nya untuk anak anak yang begal memperkosa membunuh orang tuanya merampok dan kenakalan kenakalan lain nya,urus timur urus jalan makan gaji coba mendidik bermasalah sebutan begal memperkosa membunuh tuanya merampok kenakalan kenakalan,urus timur urus jalan makan gaji coba didik masalah sebut begal perkosa bunuh tua rampok nakal nakal,gaji begal perkosa bunuh rampok,"['gaji', 'begal', 'perkosa', 'bunuh', 'rampok']"
2025-05-22 04:59:32,"Benar anak itu dalam keadaan fitoh saat lahir, maka agar jiwa Fitroh tetap tertanam peran ortu harus ditingkatkan, jika ortu sudah TDK mampu maka pemerintah wajib hadir mengembalikan Fitroh anak, caranya dengan penanaman disiplin, inilah tugas gubernur jangan hanya wacana diatas kertas dan didepan mikrofon",2,benar anak itu dalam keadaan fitoh saat lahir maka agar jiwa fitroh tetap tertanam peran ortu harus ditingkatkan jika ortu sudah tdk mampu maka pemerintah wajib hadir mengembalikan fitroh anak caranya dengan penanaman disiplin inilah tugas gubernur jangan hanya wacana diatas kertas dan didepan mikrofon,benar anak itu dalam keadaan fitoh saat lahir maka agar jiwa fitroh tetap tertanam peran orang tua harus ditingkatkan jika orang tua sudah tidak mampu maka pemerintah wajib hadir mengembalikan fitroh anak caranya dengan penanaman disiplin inilah tugas gubernur jangan hanya wacana diatas kertas dan didepan mikrofon,benar anak itu dalam keadaan fitoh saat lahir maka agar jiwa fitroh tetap tertanam peran orang tua harus ditingkatkan jika orang tua sudah tidak mampu maka pemerintah wajib hadir mengembalikan fitroh anak caranya dengan penanaman disiplin inilah tugas gubernur jangan hanya wacana diatas kertas dan didepan mikrofon,fitoh lahir jiwa fitroh tertanam peran ditingkatkan pemerintah wajib hadir mengembalikan fitroh penanaman disiplin tugas wacana diatas kertas didepan mikrofon,fitoh lahir jiwa fitroh tanam peran tingkat perintah wajib hadir kembali fitroh tanam disiplin tugas wacana atas kertas depan mikrofon,fitoh lahir jiwa fitroh tanam peran tingkat perintah hadir fitroh tanam tugas wacana kertas mikrofon,"['fitoh', 'lahir', 'jiwa', 'fitroh', 'tanam', 'peran', 'tingkat', 'perintah', 'hadir', 'fitroh', 'tanam', 'tugas', 'wacana', 'kertas', 'mikrofon']"
2025-05-22 04:25:00,Anak nakal di ajarin makan durian aja bu,2,anak nakal di ajarin makan durian aja bu,anak nakal di ajarin makan durian saja bu,anak nakal di ajarin makan durian saja bu,ajarin makan durian,ajarin makan durian,ajarin durian,"['ajarin', 'durian']"
2025-05-22 01:58:38,Anak nakal dimasukin ke masjid aja ya bu 😂,2,anak nakal dimasukin ke masjid aja ya bu,anak nakal dimasukin kah masjid saja iya bu,anak nakal dimasukin kah masjid saja iya bu,dimasukin masjid,dimasukin masjid,dimasukin masjid,"['dimasukin', 'masjid']"
2025-05-22 01:34:00,Maaf  buk utamakan. Rayat yang susah. Gak bisa makan ap ibu sudah memikirkan kan itu. Bayak buk penganguran,2,maaf buk utamakan rayat yang susah gak bisa makan ap ibu sudah memikirkan kan itu bayak buk penganguran,maaf ibu utamakan rayat yang susah tidak bisa makan apa ibu sudah memikirkan akan itu bayak ibu penganguran,maaf ibu utamakan rayat yang susah tidak bisa makan apa ibu sudah memikirkan akan itu bayak ibu penganguran,maaf utamakan rayat susah makan memikirkan bayak penganguran,maaf utama rayat susah makan pikir bayak penganguran,maaf utama rayat susah bayak penganguran,"['maaf', 'utama', 'rayat', 'susah', 'bayak', 'penganguran']"
2025-05-21 23:21:21,Gubernur e gak bermutu Lurr.,2,gubernur e gak bermutu lurr,gubernur e tidak bermutu lurr,gubernur e tidak bermutu lurr,e bermutu lurr,e mutu lurr,e mutu lurr,"['e', 'mutu', 'lurr']"
2025-05-21 23:19:41,2 periode tdak ada program kerja yang nyata.,2,periode tdak ada program kerja yang nyata,periode tdak ada program kerja yang nyata,periode tdak ada program kerja yang nyata,periode tdak nyata,periode tdak nyata,periode tdak,"['periode', 'tdak']"
2025-05-21 23:02:30,Saya lupa kalo jatim ada gubernurnya 🤣,2,saya lupa kalo jatim ada gubernurnya,saya lupa kalau jawa timur ada gubernurnya,saya lupa kalau jawa timur ada gubernurnya,lupa timur gubernurnya,lupa timur gubernur,lupa,['lupa']
2025-05-21 17:41:00,Sabagai orang jatim malu gw suuuu,2,sabagai orang jatim malu gw suuuu,sabagai orang jawa timur malu aku suuuu,sabagai orang jawa timur malu aku suuuu,sabagai timur malu suuuu,sabagai timur malu suuuu,sabagai suuuu,"['sabagai', 'suuuu']"
2025-05-21 17:22:53,KAREPMU BU AWUREN AE 😅😂,2,karepmu bu awuren ae,karepmu bu awuren saja,karepmu bu awuren saja,karepmu awuren,karepmu awuren,karepmu awuren,"['karepmu', 'awuren']"
2025-05-21 16:43:49,😂 kemarin sudah bagus buk Risma jadi cagub kenapa gak dipilih sekarang baru koar koar banding banding ke kocak dah,2,kemarin sudah bagus buk risma jadi cagub kenapa gak dipilih sekarang baru koar koar banding banding ke kocak dah,kemarin sudah bagus ibu risma jadi cagub kenapa tidak dipilih sekarang baru teriak teriak banding banding kah kocak sudah,kemarin sudah bagus ibu risma jadi cagub kenapa tidak dipilih sekarang baru teriak teriak banding banding kah kocak sudah,kemarin bagus risma cagub dipilih teriak teriak banding banding kocak,kemarin bagus risma cagub pilih teriak teriak banding banding kocak,kemarin bagus risma cagub teriak teriak banding banding kocak,"['kemarin', 'bagus', 'risma', 'cagub', 'teriak', 'teriak', 'banding', 'banding', 'kocak']"
2025-05-21 15:13:14,Gak setuju???daripada gak ada kinerja nya untuk warga jatim..Sehat???,2,gak setujudaripada gak ada kinerja nya untuk warga jatimsehat,tidak setujudaripada tidak ada kinerja nya untuk warga jatimsehat,tidak setujudaripada tidak ada kinerja nya untuk warga jatimsehat,setujudaripada kinerja warga jatimsehat,setujudaripada kerja warga jatimsehat,setujudaripada jatimsehat,"['setujudaripada', 'jatimsehat']"
2025-05-21 14:57:02,Ijolke kang dedi mulyadu wae.,2,ijolke kang dedi mulyadu wae,ijolke kang dedi mulyadi saja,ijolke kang dedi mulyadi saja,ijolke,ijolke,ijolke,['ijolke']
2025-05-21 14:56:32,Dasar dangkal tu piipa cara pikire,2,dasar dangkal tu piipa cara pikire,dasar dangkal itu khofifah cara pikirnya,dasar dangkal itu khofifah cara pikirnya,dasar dangkal khofifah pikirnya,dasar dangkal khofifah pikir,dasar dangkal,"['dasar', 'dangkal']"
2025-05-21 14:41:29,"Kerja kerja n kerja hx itu yg bisa membuktikan klo bisa, madura suara terbanyak bu khofifah tapi mana kiprahnya utk pembangunan khususnya di Sumenep yg terkenal dg fatayat nu",2,kerja kerja n kerja hx itu yg bisa membuktikan klo bisa madura suara terbanyak bu khofifah tapi mana kiprahnya utk pembangunan khususnya di sumenep yg terkenal dg fatayat nu,kerja kerja dan kerja hx itu yang bisa membuktikan kalau bisa madura suara terbanyak bu khofifah tapi mana kiprahnya untuk pembangunan khususnya di sumenep yang terkenal dengan fatayat nahdatul ulama,kerja kerja dan kerja hx itu yang bisa membuktikan kalau bisa madura suara terbanyak bu khofifah tapi mana kiprahnya untuk pembangunan khususnya di sumenep yang terkenal dengan fatayat nahdatul ulama,hx membuktikan madura suara khofifah kiprahnya pembangunan sumenep terkenal fatayat nahdatul ulama,hx bukti madura suara khofifah kiprah bangun sumenep kenal fatayat nahdatul ulama,hx madura suara kiprah bangun sumenep kenal fatayat nahdatul ulama,"['hx', 'madura', 'suara', 'kiprah', 'bangun', 'sumenep', 'kenal', 'fatayat', 'nahdatul', 'ulama']"
2025-05-21 13:36:57,"❤Ina❤ balita, dsebut beling,  remaja nakal, dewasa, kurang ajar ❤ina❤",2,ina balita dsebut beling remaja nakal dewasa kurang ajar ina,ina balita dsebut beling remaja nakal dewasa kurang ajar ina,ina balita dsebut beling remaja nakal dewasa kurang ajar ina,ina balita dsebut beling remaja dewasa ajar ina,ina balita dsebut beling remaja dewasa ajar ina,ina balita dsebut beling dewasa ina,"['ina', 'balita', 'dsebut', 'beling', 'dewasa', 'ina']"
2025-05-21 12:54:02,Jangan bisanya kritik program dedi mulyadi bu kalau bisa buat program lebih bagus dari dedi mulyadi,2,jangan bisanya kritik program dedi mulyadi bu kalau bisa buat program lebih bagus dari dedi mulyadi,jangan bisanya kritik program dedi mulyadi bu kalau bisa buat program lebih bagus dari dedi mulyadi,jangan bisanya kritik program dedi mulyadi bu kalau bisa buat program lebih bagus dari dedi mulyadi,bisanya kritik bagus,bisa kritik bagus,kritik bagus,"['kritik', 'bagus']"
2025-05-21 12:18:35,Munduro bu...dak jelas kebijakanmu...muleg...kalah kambi bupati kerjane..,2,munduro budak jelas kebijakanmumulegkalah kambi bupati kerjane,munduro anak jelas kebijakanmumulegkalah kambi bupati kerjanya,munduro anak jelas kebijakanmumulegkalah kambi bupati kerjanya,munduro kebijakanmumulegkalah kambi kerjanya,munduro kebijakanmumulegkalah kambi kerja,munduro kebijakanmumulegkalah kambi,"['munduro', 'kebijakanmumulegkalah', 'kambi']"
2025-05-21 11:35:07,beda kelas lah 😂😂,2,beda kelas lah,beda kelas lah,beda kelas lah,beda kelas,beda kelas,kelas,['kelas']
2025-05-21 11:06:18,Lha teros di kapaknoo buuuuuuuu... Mesakke kae lho akeh krak2... do tawur2aan...  Bukan di didik militer tp di didik disiplin oleh militer,1,lha teros di kapaknoo buuuuuuuu mesakke kae lho akeh krak do tawuraan bukan di didik militer tp di didik disiplin oleh militer,lah teros di kapaknoo buuuuuuuu mesakke kae lho akeh krak do tawuraan bukan di didik militer tapi di didik disiplin oleh militer,lah teros di kapaknoo buuuuuuuu mesakke kae lho akeh krak do tawuraan bukan di didik militer tapi di didik disiplin oleh militer,teros kapaknoo buuuuuuuu mesakke kae akeh krak do tawuraan didik didik disiplin,ros kapaknoo buuuuuuuu mesakke kae akeh krak do tawuraan didik didik disiplin,ros kapaknoo buuuuuuuu mesakke kae akeh krak do tawuraan,"['ros', 'kapaknoo', 'buuuuuuuu', 'mesakke', 'kae', 'akeh', 'krak', 'do', 'tawuraan']"
2025-05-21 09:57:03,Kakean omon2 thok ngak onok kerjone ayo tunjukan janji2mu waktu kampanye jangan sakiti warga Jawa timur,2,kakean omon thok ngak onok kerjone ayo tunjukan janjimu waktu kampanye jangan sakiti warga jawa timur,kakean omon thok tidak onok kerjone ayo tunjukan janjimu waktu kampanye jangan sakiti warga jawa timur,kakean omon thok tidak onok kerjone ayo tunjukan janjimu waktu kampanye jangan sakiti warga jawa timur,kakean omon onok kerjone ayo tunjukan janjimu kampanye sakiti warga timur,kakean omon onok kerjone ayo tunjuk janji kampanye sakit warga timur,kakean onok kerjone ayo janji kampanye sakit,"['kakean', 'onok', 'kerjone', 'ayo', 'janji', 'kampanye', 'sakit']"
2025-05-21 07:38:52,"Bayi yg terlahir fitrah buuuuuu,...  Klo udah berani tawuran, jadi geng motor, mabok2an, itu udah gak fitrah lagi,..   Pendidikan apa yg anda programkan buat menggantikan program dedi mulyadi ???  Berbuat dulu baru koment",1,bayi yg terlahir fitrah buuuuuu klo udah berani tawuran jadi geng motor mabokan itu udah gak fitrah lagi pendidikan apa yg anda programkan buat menggantikan program dedi mulyadi berbuat dulu baru koment,bayi yang terlahir fitrah buuuuuu kalau sudah berani berantem jadi geng motor mabokan itu sudah tidak fitrah lagi pendidikan apa yang anda programkan buat menggantikan program dedi mulyadi berbuat dahulu baru komen,bayi yang terlahir fitrah buuuuuu kalau sudah berani berantem jadi geng motor mabokan itu sudah tidak fitrah lagi pendidikan apa yang anda programkan buat menggantikan program dedi mulyadi berbuat dahulu baru komen,bayi terlahir fitrah buuuuuu berani berantem geng motor mabokan fitrah pendidikan programkan menggantikan berbuat komen,bayi lahir fitrah buuuuuu berani antem geng motor mabokan fitrah didik program ganti buat komen,bayi lahir fitrah buuuuuu berani geng motor mabokan fitrah ganti komen,"['bayi', 'lahir', 'fitrah', 'buuuuuu', 'berani', 'geng', 'motor', 'mabokan', 'fitrah', 'ganti', 'komen']"
2025-05-21 07:16:36,Menengo ae pah...diloken dalan cedak mahku jeblong kabeh wes pirang2 tahun...,2,menengo ae pahdiloken dalan cedak mahku jeblong kabeh wes pirang tahun,menengo saja pahdiloken dalan cedak mahku jeblong kabeh wes pirang tahun,menengo saja pahdiloken dalan cedak mahku jeblong kabeh wes pirang tahun,menengo pahdiloken dalan cedak mahku jeblong kabeh wes pirang,menengo pahdiloken dal cedak mah jeblong kabeh wes pirang,menengo pahdiloken dal cedak jeblong kabeh wes pirang,"['menengo', 'pahdiloken', 'dal', 'cedak', 'jeblong', 'kabeh', 'wes', 'pirang']"
2025-05-21 05:05:00,"mau setuju ato tidk itu urusan mu. yg terpdnting orang tua mereka&quot; sngt tdk keberatan ,bhkn mrk sngt&quot; berdukur anak&quot;nya sdh kmbali menjadi orang benar... Jangn hny bs bilang tdk setuju buktikan dong,bknkah di jawa timur jg bnyk remaja&quot; nakal buktikn dngn cara anda jangn hnya omdo",1,mau setuju ato tidk itu urusan mu yg terpdnting orang tua merekaquot sngt tdk keberatan bhkn mrk sngtquot berdukur anakquotnya sdh kmbali menjadi orang benar jangn hny bs bilang tdk setuju buktikan dongbknkah di jawa timur jg bnyk remajaquot nakal buktikn dngn cara anda jangn hnya omdo,mau setuju atau tidak itu urusan mu yang terpdnting orang tua merekaquot sngt tidak keberatan bhkn mereka sngtquot berdukur anaknya sudah kmbali menjadi orang benar jangn hanya bisa bilang tidak setuju buktikan bukankah di jawa timur juga banyak remajaquot nakal buktikn dengan cara anda jangn hanya banyak bicara,mau setuju atau tidak itu urusan mu yang terpdnting orang tua merekaquot sngt tidak keberatan bhkn mereka sngtquot berdukur anaknya sudah kmbali menjadi orang benar jangn hanya bisa bilang tidak setuju buktikan bukankah di jawa timur juga banyak remajaquot nakal buktikn dengan cara anda jangn hanya banyak bicara,setuju urusan mu terpdnting merekaquot sngt keberatan bhkn sngtquot berdukur anaknya kmbali jangn bilang setuju buktikan timur remajaquot buktikn jangn bicara,tuju urus mu terpdnting merekaquot sngt berat bhkn sngtquot berdukur anak kmbali jangn bilang tuju bukti timur remajaquot buktikn jangn bicara,terpdnting merekaquot sngt berat bhkn sngtquot berdukur kmbali jangn remajaquot buktikn jangn,"['terpdnting', 'merekaquot', 'sngt', 'berat', 'bhkn', 'sngtquot', 'berdukur', 'kmbali', 'jangn', 'remajaquot', 'buktikn', 'jangn']"
2025-05-21 04:58:48,Bu Kopipah gak ada solusi...,2,bu kopipah gak ada solusi,bu khofifah tidak ada solusi,bu khofifah tidak ada solusi,khofifah solusi,khofifah solusi,,[]
2025-05-21 03:49:10,Kofifah itu orangnya aneh..sok tau,2,kofifah itu orangnya anehsok tau,khofifah itu orangnya anehsok tahu,khofifah itu orangnya anehsok tahu,khofifah orangnya anehsok,khofifah orang anehsok,anehsok,['anehsok']
2025-05-21 02:19:34,Wong ra jelas,2,wong ra jelas,wong ra jelas,wong ra jelas,ra,ra,ra,['ra']
2025-05-21 01:50:06,"Melihat kualitas seseorang sekarang bukan dari omongannya, tapi dari kolom komentarnya. Kalau omongan dan komentar sesuai berarti memang bagus, kalau sebaliknya? Silahkan dinilai sendiri",2,melihat kualitas seseorang sekarang bukan dari omongannya tapi dari kolom komentarnya kalau omongan dan komentar sesuai berarti memang bagus kalau sebaliknya silahkan dinilai sendiri,melihat kualitas seseorang sekarang bukan dari omongannya tapi dari kolom komentarnya kalau omongan dan komentar sesuai berarti memang bagus kalau sebaliknya silahkan dinilai sendiri,melihat kualitas seseorang sekarang bukan dari omongannya tapi dari kolom komentarnya kalau omongan dan komentar sesuai berarti memang bagus kalau sebaliknya silahkan dinilai sendiri,kualitas omongannya kolom komentarnya omongan komentar sesuai bagus silahkan dinilai,kualitas omong kolom komentar omong komentar sesuai bagus silah nilai,kualitas kolom sesuai bagus silah,"['kualitas', 'kolom', 'sesuai', 'bagus', 'silah']"
2025-05-21 01:08:14,Mau niru malu merasa senior tp ngapain malu demi kebaikan .,2,mau niru malu merasa senior tp ngapain malu demi kebaikan,mau niru malu merasa senior tapi sedang apa malu demi kebaikan,mau niru malu merasa senior tapi sedang apa malu demi kebaikan,niru malu senior malu kebaikan,niru malu senior malu baik,niru senior,"['niru', 'senior']"
2025-05-21 00:43:39,Gubernur jawa Timur kualitas nya ga mumpuni......,2,gubernur jawa timur kualitas nya ga mumpuni,gubernur jawa timur kualitas nya tidak mumpuni,gubernur jawa timur kualitas nya tidak mumpuni,timur kualitas mumpuni,timur kualitas mumpuni,kualitas mumpuni,"['kualitas', 'mumpuni']"
2025-05-20 15:44:27,Biarkan pedagang jualan disekolah. Kami rakyat kecil cuman bisa berdagang,2,biarkan pedagang jualan disekolah kami rakyat kecil cuman bisa berdagang,biarkan pedagang jualan disekolah kami rakyat kecil Cuma bisa berdagang,biarkan pedagang jualan disekolah kami rakyat kecil cuma bisa berdagang,biarkan pedagang jualan disekolah rakyat berdagang,biar dagang jual seko rakyat dagang,dagang jual seko dagang,"['dagang', 'jual', 'seko', 'dagang']"
2025-05-20 14:43:43,Wawasanya kofifa dangkal coba dilihat setela dudik dibarat TNI semua anak nakal bandel akirnya merasakan kebahagiaan dudik menjsdi orang bsik tsnggung jawab wa ya kalok kofifa tidak setuju mundur sja mfnjadi gubernur dsn wakilnya juga mundur dan jawa timur tidsk ada kemajuan dipimpin kofifa bos tamba sulit,1,wawasanya kofifa dangkal coba dilihat setela dudik dibarat tni semua anak nakal bandel akirnya merasakan kebahagiaan dudik menjsdi orang bsik tsnggung jawab wa ya kalok kofifa tidak setuju mundur sja mfnjadi gubernur dsn wakilnya juga mundur dan jawa timur tidsk ada kemajuan dipimpin kofifa bos tamba sulit,wawasanya khofifah dangkal coba dilihat setela dudik dibarat tentara nasional indonesia semua anak nakal nakal akirnya merasakan kebahagiaan dudik menjsdi orang bsik tsnggung jawab wa iya kalau khofifah tidak setuju mundur saja menjadi gubernur dsn wakilnya juga mundur dan jawa timur tidak ada kemajuan dipimpin khofifah bos tambah sulit,wawasanya khofifah dangkal coba dilihat setela dudik dibarat tentara nasional indonesia semua anak nakal nakal akirnya merasakan kebahagiaan dudik menjsdi orang bsik tsnggung jawab wa iya kalau khofifah tidak setuju mundur saja menjadi gubernur dsn wakilnya juga mundur dan jawa timur tidak ada kemajuan dipimpin khofifah bos tambah sulit,wawasanya khofifah dangkal coba setela dudik dibarat tentara nasional akirnya merasakan kebahagiaan dudik menjsdi bsik tsnggung wa khofifah setuju mundur dsn wakilnya mundur timur kemajuan dipimpin khofifah bos sulit,wawasanya khofifah dangkal coba setela dudik barat tentara nasional akirnya rasa bahagia dudik menjsdi bsik tsnggung wa khofifah tuju mundur dsn wakil mundur timur maju pimpin khofifah bos sulit,wawasanya dangkal setela dudik akirnya bahagia dudik menjsdi bsik tsnggung wa mundur dsn mundur maju bos sulit,"['wawasanya', 'dangkal', 'setela', 'dudik', 'akirnya', 'bahagia', 'dudik', 'menjsdi', 'bsik', 'tsnggung', 'wa', 'mundur', 'dsn', 'mundur', 'maju', 'bos', 'sulit']"
2025-05-20 14:18:00,"Gubernur byk omong,daripada kerja",2,gubernur byk omongdaripada kerja,gubernur banyak bicara daripada kerja,gubernur banyak bicara daripada kerja,bicara,bicara,,[]
2025-05-20 13:08:33,Khofifah oooooo Khofifah kerja urusin yang sakit Ojo badok Dewe ae,2,khofifah oooooo khofifah kerja urusin yang sakit ojo badok dewe ae,khofifah oooooo khofifah kerja urusin yang sakit ojo badok sendiri saja,khofifah oooooo khofifah kerja urusin yang sakit ojo badok sendiri saja,khofifah oooooo khofifah urusin sakit ojo badok,khofifah oooooo khofifah urusin sakit ojo badok,oooooo urusin sakit ojo badok,"['oooooo', 'urusin', 'sakit', 'ojo', 'badok']"
2025-05-20 12:58:02,"Iya fitroh pas lahir, tapi seiring sejalan perkembangan mereka, ya ada istilah nakal. Ada anak baik dan Nakal.  Wong surga aja gak sendirian bu, ada temennya yakni Neraka.",2,iya fitroh pas lahir tapi seiring sejalan perkembangan mereka ya ada istilah nakal ada anak baik dan nakal wong surga aja gak sendirian bu ada temennya yakni neraka,iya fitroh pas lahir tapi seiring sejalan perkembangan mereka iya ada istilah nakal ada anak baik dan nakal wong surga saja tidak sendirian bu ada temennya yakni neraka,iya fitroh pas lahir tapi seiring sejalan perkembangan mereka iya ada istilah nakal ada anak baik dan nakal wong surga saja tidak sendirian bu ada temennya yakni neraka,fitroh pas lahir seiring sejalan perkembangan istilah surga temennya neraka,fitroh pas lahir iring jalan kembang istilah surga temennya neraka,fitroh lahir iring kembang istilah surga temennya neraka,"['fitroh', 'lahir', 'iring', 'kembang', 'istilah', 'surga', 'temennya', 'neraka']"
2025-05-20 06:45:53,😂😂😂😂ora setuju si Kopah bisa apa????😢,2,ora setuju si kopah bisa apa,ora setuju si khofifah bisa apa,ora setuju si khofifah bisa apa,ora setuju si khofifah,ora tuju si khofifah,ora,['ora']
2025-05-20 05:53:43,Di bawa ke kondangan yasinan aja ya bu biar makan enak minum manis..😆😆😆,2,di bawa ke kondangan yasinan aja ya bu biar makan enak minum manis,di bawa kah kondangan yasinan saja iya bu biar makan enak minum manis,di bawa kah kondangan yasinan saja iya bu biar makan enak minum manis,bawa kondangan yasinan makan enak minum manis,bawa kondangan yasinan makan enak minum manis,kondangan yasinan enak minum manis,"['kondangan', 'yasinan', 'enak', 'minum', 'manis']"
2025-05-20 05:15:14,Gubernur ga Isa krja..bisa nya cuma ngeram di ruangan AC..action coba di lapangan..jngn cuma nge&#39;bacot doang 😤🤐,2,gubernur ga isa krjabisa nya cuma ngeram di ruangan acaction coba di lapanganjngn cuma ngebacot doang,gubernur tidak bisa kerja bisa nya cuma berdiam diri di ruangan tanpa kerja coba di lapangan jangan cuma ngebacot saja,gubernur tidak bisa kerja bisa nya cuma berdiam diri di ruangan tanpa kerja coba di lapangan jangan cuma ngebacot saja,berdiam ruangan coba lapangan ngebacot,diam ruang coba lapang ngebacot,ruang lapang ngebacot,"['ruang', 'lapang', 'ngebacot']"
2025-05-20 04:51:58,Anak anak klo enggak di gituin ngga bakal nurut bu masa depan mereka masih panjang bu  anak jaman sekarang beda bu sama anak anak jaman dulu,1,anak anak klo enggak di gituin ngga bakal nurut bu masa depan mereka masih panjang bu anak jaman sekarang beda bu sama anak anak jaman dulu,anak anak kalau tidak di gituin tidak bakal nurut bu masa depan mereka masih panjang bu anak jaman sekarang beda bu sama anak anak jaman dahulu,anak anak kalau tidak di gituin tidak bakal nurut bu masa depan mereka masih panjang bu anak jaman sekarang beda bu sama anak anak jaman dahulu,gituin nurut jaman beda jaman,gituin nurut jaman beda jaman,gituin nurut,"['gituin', 'nurut']"
2025-05-11 03:31:01,Firman yuk sekarang mau ke mana,2,firman yuk sekarang mau ke mana,firman ayo sekarang mau kah mana,firman ayo sekarang mau kah mana,firman ayo,firman ayo,firman ayo,"['firman', 'ayo']"
2025-05-08 09:22:21,kembalikan mapel  PMP,2,kembalikan mapel pmp,kembalikan mata perlajaran pendidikan moral pancasila,kembalikan mata perlajaran pendidikan moral pancasila,kembalikan mata perlajaran pendidikan moral pancasila,kembali mata perlajaran didik moral pancasila,mata perlajaran moral pancasila,"['mata', 'perlajaran', 'moral', 'pancasila']"
2025-05-08 09:20:35,kayak gubermur jawa timur.alhamdulilaj,2,kayak gubermur jawa timuralhamdulilaj,kayak gubermur jawa timuralhamdulilaj,kayak gubermur jawa timuralhamdulilaj,gubermur timuralhamdulilaj,gubermur timuralhamdulilaj,gubermur timuralhamdulilaj,"['gubermur', 'timuralhamdulilaj']"
2025-05-06 05:24:29,Kenapa jadi TNI yang pintar mendidik  Kemana PGRI kemana ????,2,kenapa jadi tni yang pintar mendidik kemana pgri kemana,kenapa jadi tentara nasional indonesia yang pintar mendidik kemana pgri kemana,kenapa jadi tentara nasional indonesia yang pintar mendidik kemana pgri kemana,tentara nasional pintar mendidik kemana pgri kemana,tentara nasional pintar didik mana pgri mana,pgri,['pgri']
2025-05-06 00:07:13,Maju terus pak...,1,maju terus pak,maju terus pak,maju terus pak,maju,maju,maju,['maju']
